mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_flaml,erro,erro_absoluto
2023-11-01,AL,NORDESTE,5.78,5.6757900555624605,0.10420994443753973,0.10420994443753973
2021-10-01,PR,SUL,6.115,6.219042184384789,-0.10404218438478896,0.10404218438478896
2024-10-01,PE,NORDESTE,5.99,6.093520165070043,-0.10352016507004258,0.10352016507004258
2022-08-01,MT,CENTRO OESTE,5.43,5.326751431359263,0.10324856864073695,0.10324856864073695
2021-04-01,SP,SUDESTE,5.221,5.118047965051049,0.10295203494895144,0.10295203494895144
2021-06-01,AM,NORTE,5.261,5.363776766931756,-0.10277676693175586,0.10277676693175586
2022-09-01,AM,NORTE,5.27,5.371177902118882,-0.10117790211888256,0.10117790211888256
2024-11-01,MA,NORDESTE,5.82,5.9202281799348775,-0.1002281799348772,0.1002281799348772
2021-09-01,RR,NORTE,5.735,5.634793413091149,0.10020658690885131,0.10020658690885131
2021-03-01,AP,NORTE,4.789,4.88788170181508,-0.09888170181508027,0.09888170181508027
2022-10-01,AL,NORDESTE,4.9,4.9973769047871315,-0.09737690478713112,0.09737690478713112
2025-05-01,RN,NORDESTE,6.29,6.193361915808325,0.09663808419167541,0.09663808419167541
2023-04-01,RJ,SUDESTE,5.57,5.6653774179128895,-0.09537741791288923,0.09537741791288923
2024-03-01,SC,SUL,5.87,5.774667466632733,0.09533253336726677,0.09533253336726677
2024-01-01,AL,NORDESTE,5.54,5.445408379688164,0.09459162031183599,0.09459162031183599
2025-04-01,AM,NORTE,7.23,7.135458880296455,0.09454111970354528,0.09454111970354528
2021-09-01,MT,CENTRO OESTE,6.134,6.227850887338328,-0.09385088733832792,0.09385088733832792
2022-12-01,PI,NORDESTE,5.21,5.1173234861766606,0.09267651382333941,0.09267651382333941
2023-12-01,AP,NORTE,5.52,5.428032210529752,0.09196778947024775,0.09196778947024775
2021-02-01,MS,CENTRO OESTE,5.049,4.958063164560161,0.09093683543983921,0.09093683543983921
2021-05-01,PI,NORDESTE,5.868,5.777681814557604,0.09031818544239645,0.09031818544239645
2022-04-01,PR,SUL,7.263,7.173027002913871,0.08997299708612871,0.08997299708612871
2025-01-01,CE,NORDESTE,6.37,6.281075168261366,0.08892483173863397,0.08892483173863397
2025-10-01,PB,NORDESTE,5.9,5.98889419755781,-0.08889419755780992,0.08889419755780992
2023-08-01,AP,NORTE,5.47,5.557857073073627,-0.08785707307362767,0.08785707307362767
2021-10-01,SE,NORDESTE,6.418,6.330355476924093,0.08764452307590709,0.08764452307590709
2021-03-01,RJ,SUDESTE,6.04,6.1264968691815636,-0.08649686918156352,0.08649686918156352
2024-05-01,PI,NORDESTE,5.73,5.643999495333029,0.08600050466697162,0.08600050466697162
2025-03-01,AL,NORDESTE,6.27,6.355979583940244,-0.08597958394024463,0.08597958394024463
2021-01-01,TO,NORTE,4.933,4.8473258581543135,0.08567414184568634,0.08567414184568634
2023-02-01,PR,SUL,5.22,5.305066696722313,-0.08506669672231304,0.08506669672231304
2024-08-01,MG,SUDESTE,6.19,6.1049648122193565,0.0850351877806439,0.0850351877806439
2022-12-01,SE,NORDESTE,4.82,4.904719903666371,-0.08471990366637083,0.08471990366637083
2024-02-01,CE,NORDESTE,6.04,5.955491858370453,0.08450814162954678,0.08450814162954678
2023-04-01,GO,CENTRO OESTE,5.53,5.612683303281758,-0.08268330328175733,0.08268330328175733
2021-12-01,MA,NORDESTE,6.448,6.530682466825091,-0.08268246682509073,0.08268246682509073
2022-05-01,SC,SUL,7.18,7.0990179227019246,0.08098207729807516,0.08098207729807516
2025-02-01,MA,NORDESTE,6.2,6.119801374923464,0.08019862507653652,0.08019862507653652
2022-03-01,RJ,SUDESTE,7.517,7.436834766740122,0.08016523325987812,0.08016523325987812
2023-03-01,CE,NORDESTE,5.79,5.710349001685009,0.07965099831499067,0.07965099831499067
2021-08-01,AC,NORTE,6.431,6.352943831135388,0.0780561688646122,0.0780561688646122
2023-08-01,AM,NORTE,6.4,6.322080562056502,0.07791943794349798,0.07791943794349798
2025-01-01,PR,SUL,6.28,6.357699371924465,-0.07769937192446452,0.07769937192446452
2022-06-01,RR,NORTE,7.07,6.992731045227196,0.07726895477280404,0.07726895477280404
2024-03-01,BA,NORDESTE,5.88,5.957059386851259,-0.0770593868512588,0.0770593868512588
2023-11-01,MT,CENTRO OESTE,5.69,5.6130902207922295,0.07690977920777087,0.07690977920777087
2024-02-01,RO,NORTE,6.36,6.283967566363662,0.07603243363633805,0.07603243363633805
2024-06-01,RR,NORTE,6.18,6.255103975429182,-0.07510397542918223,0.07510397542918223
2021-02-01,PE,NORDESTE,4.981,4.9061353898142235,0.07486461018577639,0.07486461018577639
2025-09-01,PR,SUL,6.46,6.385287887902648,0.07471211209735173,0.07471211209735173
2023-10-01,AC,NORTE,6.76,6.68830844038639,0.07169155961361007,0.07169155961361007
2025-01-01,DF,CENTRO OESTE,6.18,6.109011758548721,0.07098824145127836,0.07098824145127836
2021-04-01,PE,NORDESTE,5.369,5.439911670283332,-0.07091167028333256,0.07091167028333256
2022-11-01,MT,CENTRO OESTE,5.08,5.1501507432733735,-0.07015074327337345,0.07015074327337345
2024-02-01,SP,SUDESTE,5.6,5.530723706046657,0.0692762939533429,0.0692762939533429
2024-11-01,PA,NORTE,6.17,6.238527105633453,-0.06852710563345266,0.06852710563345266
2022-03-01,MG,SUDESTE,7.278,7.20957531309768,0.06842468690231929,0.06842468690231929
2021-08-01,RO,NORTE,6.038,5.9710592358545735,0.06694076414542671,0.06694076414542671
2022-03-01,MA,NORDESTE,7.02,7.086921632298611,-0.06692163229861148,0.06692163229861148
2021-02-01,SP,SUDESTE,4.639,4.7054930579289085,-0.06649305792890825,0.06649305792890825
2024-11-01,PR,SUL,6.21,6.275705781038097,-0.06570578103809677,0.06570578103809677
