mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_lightautoml,erro,erro_absoluto
2024-04-01,PB,NORDESTE,5.67,5.678782,-0.008781986236572337,0.008781986236572337
2023-01-01,ES,SUDESTE,5.11,5.1184435,-0.008443489074706712,0.008443489074706712
2021-04-01,RR,NORTE,5.352,5.360042,-0.00804209518432586,0.00804209518432586
2025-03-01,AM,NORTE,7.32,7.311992,0.008007831573486612,0.008007831573486612
2023-01-01,SC,SUL,5.18,5.1878996,-0.007899589538574503,0.007899589538574503
2022-12-01,CE,NORDESTE,5.07,5.0773206,-0.007320575714111044,0.007320575714111044
2022-04-01,PR,SUL,7.263,7.2574887,0.005511272430419822,0.005511272430419822
2021-12-01,RO,NORTE,6.7,6.6946406,0.005359363555908381,0.005359363555908381
2024-11-01,SP,SUDESTE,5.94,5.9447446,-0.004744586944579687,0.004744586944579687
2024-05-01,PI,NORDESTE,5.73,5.725883,0.0041169929504398795,0.0041169929504398795
2023-08-01,AP,NORTE,5.47,5.4660144,0.0039856147766110794,0.0039856147766110794
2021-02-01,PE,NORDESTE,4.981,4.9773574,0.0036426124572752627,0.0036426124572752627
2024-07-01,PB,NORDESTE,6.01,6.0065947,0.003405342102050568,0.003405342102050568
2023-05-01,SC,SUL,5.55,5.5533442,-0.0033442497253419745,0.0033442497253419745
2023-07-01,MT,CENTRO OESTE,5.55,5.546935,0.0030649185180662286,0.0030649185180662286
2024-08-01,PB,NORDESTE,6.14,6.1420927,-0.0020927047729495385,0.0020927047729495385
2025-07-01,DF,CENTRO OESTE,6.44,6.438482,0.0015181922912601564,0.0015181922912601564
2025-12-01,BA,NORDESTE,6.27,6.270729,-0.0007290649414066763,0.0007290649414066763
2022-01-01,RO,NORTE,6.748,6.7487006,-0.0007006187438962641,0.0007006187438962641
2025-04-01,CE,NORDESTE,6.45,6.449474,0.0005261421203615058,0.0005261421203615058
2025-09-01,GO,CENTRO OESTE,6.23,6.2294936,0.000506381988525817,0.000506381988525817
2024-08-01,BA,NORDESTE,6.36,6.359991,8.926391601882244e-06,8.926391601882244e-06
