mes_ano,uf,preco_medio_etanol_hidratado,preco_medio_gasolina_c,volume_etanol_hidratado_m3,volume_gasolina_c_m3,uf_nome,regiao,volume_total_analisado_m3,participacao_etanol,razao_etanol_gasolina,preco_relativo_etanol_gasolina,variacao_preco_gasolina_c,variacao_volume_gasolina_c,ano,mes
2025-01-01,PE,4.61,6.22,27730.2,125796.1,PERNAMBUCO,NORDESTE,153526.30000000002,0.1806218217986104,0.22043767652574284,0.7411575562700965,0.006472491909385036,-0.06833887002591033,2025,1
2025-02-01,PE,4.95,6.47,24515.8,110946.05,PERNAMBUCO,NORDESTE,135461.85,0.1809793679917999,0.22097046267082063,0.7650695517774344,0.04019292604501601,-0.11804857225303489,2025,2
2025-03-01,PE,4.89,6.44,26481.79,117581.75,PERNAMBUCO,NORDESTE,144063.54,0.18382020877732144,0.22522024038594426,0.7593167701863353,-0.004636785162287382,0.059810150969773046,2025,3
2025-04-01,PE,4.87,6.38,28885.9,125019.798,PERNAMBUCO,NORDESTE,153905.698,0.18768570868636716,0.2310506052809332,0.7633228840125392,-0.009316770186335477,0.063258524388351,2025,4
2025-05-01,PE,4.87,6.32,25754.0,125680.35,PERNAMBUCO,NORDESTE,151434.35,0.17006709508113582,0.20491667949683462,0.7705696202531646,-0.00940438871473348,0.005283579165597629,2025,5
2025-06-01,PE,4.92,6.4,25947.0,123208.9,PERNAMBUCO,NORDESTE,149155.9,0.17395892485647568,0.21059355290080506,0.7687499999999999,0.012658227848101333,-0.01966456968014496,2025,6
2025-07-01,PE,4.85,6.3,27042.0,126717.65,PERNAMBUCO,NORDESTE,153759.65,0.17587188836603102,0.21340357874376617,0.7698412698412698,-0.01562500000000011,0.02847805637417422,2025,7
2025-08-01,PE,4.86,6.32,26508.7,125419.68,PERNAMBUCO,NORDESTE,151928.38,0.17448155505903507,0.21135997157702843,0.7689873417721519,0.0031746031746031633,-0.010243008767918282,2025,8
2025-09-01,PE,4.85,6.36,23687.9,131025.4,PERNAMBUCO,NORDESTE,154713.3,0.1531083623709145,0.1807886104526298,0.7625786163522011,0.006329113924050667,0.04469569687946895,2025,9
2025-10-01,PE,4.72,6.42,26464.3,136714.85,PERNAMBUCO,NORDESTE,163179.15,0.16217942059386878,0.19357297323589936,0.735202492211838,0.00943396226415083,0.043422496706745584,2025,10
2025-11-01,PE,4.44,6.27,27254.2,125861.154,PERNAMBUCO,NORDESTE,153115.354,0.17799782509074827,0.21654179334793006,0.7081339712918662,-0.02336448598130847,-0.07938929823643892,2025,11
2025-12-01,PE,4.49,6.31,34417.7,147666.8,PERNAMBUCO,NORDESTE,182084.5,0.1890204822486263,0.23307676471623953,0.711568938193344,0.006379585326953707,0.17325159755010655,2025,12
2021-01-01,PI,3.672,4.751,6985.0,48166.96,PIAUI,NORDESTE,55151.96,0.12665007734992556,0.1450164178930952,0.7728899179120186,0.034400174178097265,-0.14039667994784377,2021,1
2021-02-01,PI,3.849,5.067,7259.0,38948.48,PIAUI,NORDESTE,46207.48,0.15709577756674892,0.18637441050331102,0.7596210775606869,0.06651231319722162,-0.19138596249379236,2021,2
2021-03-01,PI,4.496,5.771,7264.5,40429.533,PIAUI,NORDESTE,47694.033,0.15231465118498155,0.17968300549007082,0.7790677525558829,0.13893822774817433,0.038025951205284514,2021,3
2021-04-01,PI,4.276,5.583,6512.3,38118.81,PIAUI,NORDESTE,44631.11,0.1459139152039911,0.1708421642753276,0.7658964714311302,-0.03257667648587759,-0.05715433319499397,2021,4
2021-05-01,PI,4.775,5.868,7357.7,42086.78,PIAUI,NORDESTE,49444.479999999996,0.14880730872283418,0.1748221175390467,0.8137355146557601,0.05104782375067174,0.10409480253974346,2021,5
2021-06-01,PI,4.996,5.997,5591.7,44229.95,PIAUI,NORDESTE,49821.649999999994,0.11223433989038903,0.12642338505921893,0.8330832082708022,0.021983640081799427,0.05092264126644985,2021,6
2021-07-01,PI,5.109,6.212,6865.4,47254.7,PIAUI,NORDESTE,54120.1,0.12685490233757882,0.14528501926792467,0.8224404378622022,0.035851258962814825,0.06838691881858328,2021,7
2021-08-01,PI,5.26,6.311,5520.3,47553.2,PIAUI,NORDESTE,53073.5,0.10401236021743432,0.11608682486141839,0.8334653779115829,0.015936896329684425,0.006316831976501902,2021,8
2021-09-01,PI,5.583,6.625,9333.9,48054.7,PIAUI,NORDESTE,57388.6,0.1626438003366522,0.1942349031416282,0.8427169811320755,0.049754397084455615,0.01054608312374361,2021,9
2021-10-01,PI,5.74,6.924,5695.8,46276.6,PIAUI,NORDESTE,51972.4,0.10959278386220378,0.1230816438545615,0.829000577700751,0.045132075471698174,-0.03700158361200878,2021,10
2021-11-01,PI,5.717,7.132,8732.379,43606.7,PIAUI,NORDESTE,52339.079,0.16684242762468177,0.20025314917203094,0.8015984296130118,0.03004043905257059,-0.057694385499366896,2021,11
2021-12-01,PI,5.501,6.915,7273.6,51255.7,PIAUI,NORDESTE,58529.299999999996,0.12427280011891481,0.1419081194871985,0.7955169920462762,-0.030426247896803038,0.17540882479068576,2021,12
2022-01-01,PI,5.402,6.878,5942.9,41918.366,PIAUI,NORDESTE,47861.266,0.12416930216597277,0.14177317884957633,0.7854027333527188,-0.005350686912509062,-0.18217162188790703,2022,1
2022-02-01,PI,5.214,6.805,8492.7,41076.7,PIAUI,NORDESTE,49569.399999999994,0.1713294895641263,0.2067522464073307,0.7662013225569435,-0.010613550450712439,-0.02007869295286946,2022,2
2022-03-01,PI,5.686,7.681,18182.709,40173.0,PIAUI,NORDESTE,58355.709,0.311584064551422,0.45261018594578445,0.7402681942455409,0.1287288758265981,-0.02200030674323883,2022,3
2022-04-01,PI,5.965,8.118,21137.221,39158.5,PIAUI,NORDESTE,60295.721000000005,0.35055922127542016,0.5397862788411201,0.7347868933234787,0.056893633641452945,-0.02525327956587753,2022,4
2022-05-01,PI,6.18,8.1,18253.65,42530.9,PIAUI,NORDESTE,60784.55,0.30030081657263236,0.42918560387859184,0.762962962962963,-0.0022172949002218223,0.08612178709603291,2022,5
2022-06-01,PI,5.85,7.92,8088.4,40208.0,PIAUI,NORDESTE,48296.4,0.16747418027016506,0.20116394747313968,0.7386363636363636,-0.022222222222222143,-0.05461676099024482,2022,6
2022-07-01,PI,5.24,6.61,6465.5,45694.1,PIAUI,NORDESTE,52159.6,0.1239560886203115,0.14149529151465945,0.7927382753403933,-0.16540404040404033,0.13644299641862312,2022,7
2022-08-01,PI,4.63,5.57,4322.6,52587.0,PIAUI,NORDESTE,56909.6,0.07595555055737521,0.08219902257211859,0.8312387791741471,-0.15733736762481088,0.15084879667178042,2022,8
2022-09-01,PI,4.18,5.14,4286.0,52823.5,PIAUI,NORDESTE,57109.5,0.0750488097426873,0.08113812980964911,0.8132295719844358,-0.07719928186714553,0.004497309220910184,2022,9
2022-10-01,PI,3.91,4.98,5043.8,52463.4,PIAUI,NORDESTE,57507.200000000004,0.08770727839296644,0.0961394038510657,0.785140562248996,-0.03112840466926059,-0.006817041657595557,2022,10
2022-11-01,PI,4.04,5.19,5210.2,48763.4,PIAUI,NORDESTE,53973.6,0.0965323787925949,0.1068465283388771,0.7784200385356455,0.04216867469879526,-0.0705253567248787,2022,11
2022-12-01,PI,4.17,5.21,5354.289,54990.4,PIAUI,NORDESTE,60344.689,0.0887284214854434,0.09736770418109342,0.800383877159309,0.0038535645472059787,0.12769823269091152,2022,12
2023-01-01,PI,4.21,5.19,4395.8,51423.727,PIAUI,NORDESTE,55819.527,0.07875021943485834,0.08548194105028599,0.8111753371868978,-0.0038387715930900956,-0.06485992100439353,2023,1
2023-02-01,PI,4.08,5.05,4212.5,46676.3,PIAUI,NORDESTE,50888.8,0.08277852887079279,0.09024922712382943,0.807920792079208,-0.026974951830443294,-0.09231977682208825,2023,2
2023-03-01,PI,4.63,5.71,4634.2,49477.0,PIAUI,NORDESTE,54111.2,0.08564215910938955,0.09366372253774481,0.8108581436077058,0.1306930693069308,0.060002613746162226,2023,3
2023-04-01,PI,4.4,5.62,4388.1,47156.1,PIAUI,NORDESTE,51544.2,0.08513275984494861,0.09305476916029953,0.7829181494661922,-0.015761821366024442,-0.046908664632051233,2023,4
2023-05-01,PI,4.46,5.55,4524.6,51308.4,PIAUI,NORDESTE,55833.0,0.08103809574982537,0.08818439085997615,0.8036036036036036,-0.01245551601423489,0.08805435564009745,2023,5
2023-06-01,PI,4.27,5.27,4067.0,52781.3,PIAUI,NORDESTE,56848.3,0.07154127739967597,0.07705380504080044,0.810246679316888,-0.05045045045045049,0.02870680044593099,2023,6
2023-07-01,PI,4.4,5.51,4220.9,53189.2,PIAUI,NORDESTE,57410.1,0.07352190642413094,0.07935633549667978,0.7985480943738658,0.04554079696394697,0.007728115828901316,2023,7
2023-08-01,PI,4.37,5.68,5306.5,54267.3,PIAUI,NORDESTE,59573.8,0.0890743917628219,0.0977844853162033,0.7693661971830986,0.030852994555353952,0.02026915238431881,2023,8
2023-09-01,PI,4.23,5.7,5811.4,51340.0,PIAUI,NORDESTE,57151.4,0.10168429819741948,0.11319439033891701,0.7421052631578948,0.0035211267605634866,-0.053942245145787715,2023,9
2023-10-01,PI,4.08,5.51,6144.5,53691.0,PIAUI,NORDESTE,59835.5,0.10268987473991192,0.11444189901473245,0.7404718693284937,-0.03333333333333344,0.04579275418776785,2023,10
